course_id,grade
3IT204,Data Communication and Networking,NIL
3IT324,Information Storage and Management,NIL
3IT323,Information Theory,NIL
3MA215,Statistics and Fuzzy Systems,NIL
3IT333,IoT systems and applications,NIL
3IT341,Mini-Project III,NIL
3IT342,Mini Project - IV,NIL
3IT203,Processor Architechture,NIL
3IT351,Database Engineering Lab,NIL
3IT265,Programming Lab - II,NIL
3IT282,Mini Project - II,NIL
3IT281,Mini Project - I,NIL
3IT211,Theory of Computation,NIL
3IT371,Unix Operating System Lab,NIL
3IT352,Web Technology,NIL
3IT212,Computer Organization and Architechture,NIL
3IT372,ParalleL Programming Lab,NIL
3MA204,Linear Algebra,NIL
3IT201,Descrete Mathematics,NIL
3IT321,Advanced Database Engineering,NIL
3IT331,Machine Learning ,NIL
3IT214,System Programming,NIL
3IT312,Cloud Computing ,NIL
3IT253,Processor Architechture Lab,NIL
3IT303,Operating System,NIL
3IT252,Data Structures Lab,NIL
3IT255,Programming Lab - I,NIL
3IT263,Computer and Wireless Networks Lab,NIL
3IT213,Computer and Wireless Networks,NIL
3IT302,Software Engineering Design,NIL
3IT322,Unix Operating System,NIL
3IT304,Computer Algorithm ,NIL
3IT301,Database Engineering,NIL
3IT202,Data Structures,NIL
3IT313,Computer Graphics & Multimedia,NIL
