course_id,grade
3MA215,Statistics and Fuzzy Systems,AB
3IT263,Computer and Wireless Networks Lab,AB
3IT312,Cloud Computing ,AB
3IT342,Mini Project - IV,BB
3IT203,Processor Architechture,AA
3IT255,Programming Lab - I,AB
3IT265,Programming Lab - II,BB
3IT323,Information Theory,CC
3IT303,Operating System,AB
3IT313,Computer Graphics & Multimedia,BB
3IT322,Unix Operating System,AB
3MA204,Linear Algebra,NIL
3IT301,Database Engineering,BB
3IT331,Machine Learning ,BB
3IT324,Information Storage and Management,AB
3IT252,Data Structures Lab,AB
3IT212,Computer Organization and Architechture,AB
3IT333,IoT systems and applications,BB
3IT352,Web Technology,BB
3IT282,Mini Project - II,BC
3IT321,Advanced Database Engineering,AB
3IT214,System Programming,CC
3IT281,Mini Project - I,AB
3IT302,Software Engineering Design,BB
3IT371,Unix Operating System Lab,BB
3IT201,Descrete Mathematics,AB
3IT213,Computer and Wireless Networks,CD
3IT351,Database Engineering Lab,BB
3IT341,Mini-Project III,AB
3IT211,Theory of Computation,AB
3IT372,ParalleL Programming Lab,BC
3IT253,Processor Architechture Lab,AB
3IT204,Data Communication and Networking,AA
3IT304,Computer Algorithm ,BB
3IT202,Data Structures,AA
